iteration,live_cells,dead_cells,duration_ms
1,7,14,4.0388999914284796
2,7,14,3.3292000007349998
3,9,7,3.2682999735698104
4,9,19,3.0923000012990087
5,9,23,2.8000999882351607
6,9,19,2.634600008605048
7,9,23,2.5787999911699444
8,9,19,2.32910001068376
9,9,23,2.3458999930880964
10,9,19,2.339300001040101
11,9,23,2.7664999943226576
12,9,19,3.6518000124488026
13,9,23,5.653300002450123
14,9,19,4.2489999905228615
15,9,23,4.6249000006355345
16,9,19,4.038600018247962
17,9,23,3.6783000105060637
18,9,19,3.721899993252009
19,9,23,3.406100004212931
20,9,19,2.6498999795876443
21,9,23,2.5889000098686665
22,9,19,2.584500005468726
23,9,23,2.4047000042628497
24,9,19,2.761600015219301
25,9,23,3.2851999858394265
26,9,19,2.74100000387989
27,9,23,3.210100025171414
28,9,19,2.527800010284409
29,9,23,2.6485999987926334
30,9,19,2.3711999820079654
31,9,23,2.369699999690056
32,9,19,2.2510999988298863
33,9,23,2.450400002999231
34,9,19,2.511800004867837
35,9,23,3.0929999775253236
36,9,19,2.6686000055633485
37,9,23,2.680400008102879
38,9,19,2.8295000083744526
39,9,23,3.43879999127239
40,9,19,2.4757000210229307
41,9,23,3.156099992338568
42,9,19,2.578999992692843
43,9,23,2.601300016976893
44,9,19,2.6305000064894557
45,9,23,2.5784999888855964
46,9,19,2.2680000110995024
47,9,23,3.072699997574091
48,9,19,2.425600017886609
49,9,23,2.362700004596263
50,9,19,2.209800004493445
51,9,23,2.256299980217591
52,9,19,2.286799979628995
53,9,23,2.4876999959815294
54,9,19,3.0556000128854066
55,9,23,3.41059998027049
56,9,19,3.0337999924086034
57,9,23,2.654000010807067
58,9,19,3.263499995227903
59,9,23,3.2033999741543084
60,9,19,3.016100003151223
61,9,23,2.355500007979572
62,9,19,2.332899981411174
63,9,23,2.351200004341081
64,9,19,2.899400016758591
65,9,23,2.90250001125969
66,9,19,2.8503999928943813
67,9,23,2.3709999804850668
68,9,19,2.295699989190325
69,9,23,3.0544000037480146
70,9,19,3.060199989704415
71,9,23,2.9027999844402075
72,9,19,3.4693999914452434
73,9,23,3.312300017569214
74,9,19,3.109699988272041
75,9,23,2.822699985699728
76,9,19,4.271800018614158
77,9,23,3.3939000277314335
78,9,19,4.767100006574765
79,9,23,4.658400022890419
80,9,19,5.13079998199828
81,9,23,23.224800010211766
82,9,19,5.129600001964718
83,9,23,4.6245999983511865
84,9,19,4.289000004064292
85,9,23,3.863399993861094
86,9,19,3.8997000083327293
87,9,23,3.6010000039823353
88,9,19,3.9800000085961074
89,9,23,3.87879999470897
90,9,19,3.7757000245619565
91,9,23,4.482399992411956
92,9,19,3.7970999837853014
93,9,23,3.261300007579848
94,9,19,3.3226000086870044
95,9,23,2.8281000268179923
96,9,19,3.3273999870289117
97,9,23,3.8883000088389963
98,9,19,3.1839000002946705
